Slip Angle (deg),IA = -4.0 deg,IA = -3.0 deg,IA = -2.0 deg,IA = -1.0 deg,IA = 0.0 deg,IA = 1.0 deg,IA = 2.0 deg,IA = 3.0 deg,IA = 4.0 deg
-5.599999999999998,-1290.9679462261875,-1319.8059150069914,-1344.8406647630893,-1365.8021630171177,-1382.421115298553,-1383.032724439763,-1380.05761694561,-1373.50019739407,-1363.3505587595473
-5.399999999999999,-1276.774848453111,-1306.4854447730734,-1332.4802406859367,-1354.4749936441174,-1372.1850592145918,-1372.9146223637463,-1370.1348288703089,-1363.8468340027775,-1354.0372622806242
-5.199999999999999,-1261.0105544233754,-1291.6520601338718,-1318.673215697845,-1341.7753162500578,-1360.6579394953421,-1361.5462052873165,-1359.0063594761054,-1353.0358877946644,-1343.6175992781543
-5.0,-1243.5207470786938,-1275.1534406794733,-1303.2699829306764,-1327.5570579117143,-1347.6981210966321,-1348.7932100562912,-1346.5450887320876,-1340.9471513532183,-1331.9780527316093
-4.799999999999997,-1224.1386264908515,-1256.824192219463,-1286.107326087286,-1311.6600828665569,-1333.1495615836616,-1334.5080524316124,-1332.611540152388,-1327.4489175394774,-1318.994367777898
-4.599999999999998,-1202.684884411268,-1236.4855931168067,-1267.0079363057257,-1293.9094827751635,-1316.8408826028597,-1318.5290035923344,-1317.0531383552193,-1312.397298442768,-1304.530915931775
-4.399999999999999,-1178.9680498526125,-1213.945660902862,-1245.7801955713721,-1274.1150769215305,-1298.5845922637554,-1300.6795059259223,-1299.703593005346,-1295.6356571269016,-1288.4401582208968
-4.199999999999999,-1152.7853291861386,-1188.9996574550023,-1222.2183384144435,-1252.071225971126,-1278.1765522134083,-1280.767710485585,-1280.3824815286616,-1276.9942158076562,-1270.5622631861145
-4.0,-1123.9240866780347,-1161.4311756085344,-1196.1031299546487,-1227.5570904324395,-1255.39581126576,-1258.586342331108,-1258.8951233978469,-1256.289921729105,-1250.724951063828
-3.799999999999997,-1092.1641322794223,-1131.0139747666105,-1167.2032263789306,-1200.3374957059784,-1230.004960120297,-1233.9130275270913,-1235.0328622892978,-1233.3266722735284,-1228.743653139985
-3.599999999999998,-1057.2809994074823,-1097.5147549985288,-1135.277411396518,-1170.1645979363884,-1201.7511980322731,-1206.511246050241,-1208.573898337031,-1207.896023201163,-1204.4220948178527
-3.3999999999999986,-1019.0504014668492,-1060.6970738894054,-1100.0779253677892,-1136.7805758153543,-1170.3683401243738,-1176.1321064816018,-1179.284839611451,-1179.778527200084,-1177.5534314355807
-3.1999999999999993,-977.2540453263528,-1020.326611810866,-1061.355117021253,-1099.921598144031,-1135.5800294186781,-1142.5171679520022,-1146.9231672634278,-1148.7458720617092,-1147.9220856357915
-3.0,-931.6869446644519,-976.177971175161,-1018.8636431249738,-1059.3233281132793,-1097.1044442613327,-1105.4025573019405,-1111.240828434228,-1114.564005510029,-1115.3064514804819
